experiment_id,run_id,artifact_key,path,sha256,row_count,created_utc
phase10_model_optimization_v1,phase10_standard_20260619_0152,m1_oof,outputs/oof/phase10_model_optimization_phase10_standard_20260619_0152_m1_logistic_regression_tuned_oof_predictions.csv,3db6e1fea047c1d4f39b0757dcca08da3dc3699e0e4beda14025e922d6ad294f,2781,2026-06-19T07:13:38.394490+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,catboost_oof,outputs/oof/phase10_model_optimization_phase10_standard_20260619_0152_catboost_tuned_oof_predictions.csv,643f635a496f410235408c77f617d95b33724b76a4de9e540064cc9686c0e16b,2781,2026-06-19T07:13:38.397717+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,hpo_results,outputs/validation/phase10_model_optimization_phase10_standard_20260619_0152_hpo_results.csv,c5da5d00179c2aadcd926f62b224374e845dea4a936232f8e412096ff85cc55c,80,2026-06-19T07:13:38.401143+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,model_summary,outputs/validation/phase10_model_optimization_phase10_standard_20260619_0152_model_summary.csv,c712195b4ece81214e81ef058521016306c4835805097826b8d5e5d22bd17192,5,2026-06-19T07:13:38.402673+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,fold_metrics,outputs/validation/phase10_model_optimization_phase10_standard_20260619_0152_fold_metrics.csv,5f9d7cf7f3439bd375083c43b37b5c45b8260b2e4414be4964e9686d490efead,25,2026-06-19T07:13:38.403989+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,slice_report,outputs/validation/phase10_model_optimization_phase10_standard_20260619_0152_slice_report.csv,7809d8a31dbba0b69c6df5ac9b3ac6899622e711ce910afe7f8bc25c9db813d6,280,2026-06-19T07:13:38.407134+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,topk_quantile,outputs/validation/phase10_model_optimization_phase10_standard_20260619_0152_topk_quantile.csv,cea1687ec4b661f9ce2533ce2b548f2e7be7c0a8a365ecec8ae0a332b1c35c21,30,2026-06-19T07:13:38.408774+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,score_distribution,outputs/validation/phase10_model_optimization_phase10_standard_20260619_0152_score_distribution.csv,bfbcc8725944f519a63449aafac3f26046839076a9c4ba202a23dd2c65b4aca9,5,2026-06-19T07:13:38.410140+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,selection_bias_report,outputs/reports/phase10_model_optimization_phase10_standard_20260619_0152_selection_bias_warning_report.md,4c6154edd24ecc0a5dfa80d2d62aa947acc616d60a23de000c5300c67b2f0983,,2026-06-19T07:13:38.410788+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,validation_report,outputs/reports/phase10_model_optimization_phase10_standard_20260619_0152_validation_report.md,74d6a0b170492fab13556a7570c1b01b3a0e11d9810de00d7b417efc0efadb09,,2026-06-19T07:13:38.411413+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,candidate_log,outputs/reports/phase10_model_optimization_phase10_standard_20260619_0152_experiment_log_candidate.csv,7a529f6e4190d7b3e664d15297d6cc0d60d99d7ec96c9ae423010f8f5bff30d9,2,2026-06-19T07:13:38.414869+00:00
phase10_model_optimization_v1,phase10_standard_20260619_0152,artifact_manifest,outputs/reports/phase10_model_optimization_phase10_standard_20260619_0152_artifact_manifest.csv,self_excluded_until_after_write,,2026-06-19T07:13:38.415082+00:00
