experiment_id,artifact_name,path,exists,sha256_16,size_bytes
phase8_model_family_comparison_v1,oof_m0_random_forest_frozen,outputs\oof\phase8_model_family_comparison_v1_m0_random_forest_frozen_oof_predictions.csv,True,0071bdb3a3e92453,79523
phase8_model_family_comparison_v1,oof_m1_logistic_regression,outputs\oof\phase8_model_family_comparison_v1_m1_logistic_regression_oof_predictions.csv,True,ce4f291b9d7f3ef7,80149
phase8_model_family_comparison_v1,oof_m2_random_forest_default,outputs\oof\phase8_model_family_comparison_v1_m2_random_forest_default_oof_predictions.csv,True,36b03139666aaf4d,40345
phase8_model_family_comparison_v1,oof_m3_extra_trees_default,outputs\oof\phase8_model_family_comparison_v1_m3_extra_trees_default_oof_predictions.csv,True,2b700a46e0484106,40364
phase8_model_family_comparison_v1,oof_m4_hist_gradient_boosting,outputs\oof\phase8_model_family_comparison_v1_m4_hist_gradient_boosting_oof_predictions.csv,True,2c5c4a8766020d08,80391
phase8_model_family_comparison_v1,model_summary,outputs\validation\phase8_model_family_comparison_v1_model_summary.csv,True,4ed79c437f3b706c,4953
phase8_model_family_comparison_v1,fold_metrics,outputs\validation\phase8_model_family_comparison_v1_fold_metrics.csv,True,ad79843642e98bfa,3810
phase8_model_family_comparison_v1,slice_report,outputs\validation\phase8_model_family_comparison_v1_slice_report.csv,True,04406d8a52362589,35130
phase8_model_family_comparison_v1,validation_report,outputs\reports\phase8_model_family_comparison_v1_validation_report.md,True,de8c29963d716d15,11245
phase8_model_family_comparison_v1,candidate_log,outputs\reports\phase8_model_family_comparison_v1_experiment_log_candidate.csv,True,5f720d8234efea64,7110
